,2022-03-01,2023-03-01
Sales,18.93,17.08
Expenses,16.09,14.33
Operating Profit,2.84,2.75
OPM %,15.0,16.1
Other Income,0.02,0.1
Interest,0.44,0.54
Depreciation,0.1,0.11
Profit before tax,2.32,2.2
Tax %,27.16,24.09
Net Profit,1.69,1.68
EPS in Rs,73.48,2.81
