,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,66.92,66.92,66.92,66.92,66.92,69.07,69.07,69.07,69.07,69.07,69.07,69.07
DIIs,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Government,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Public,33.05,33.05,33.05,33.05,33.05,30.9,30.9,30.9,30.9,30.89,30.9,30.9
No. of Shareholders,2319.0,2287.0,2683.0,2686.0,2719.0,2864.0,2938.0,2955.0,2983.0,2967.0,2942.0,2816.0
