,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,41,62,79,79,83,100,100.0
Reserves,214,564,1120,1167,1255,2222,2476.0
Preference Capital,3,0,0,0,0,0,
Borrowings,1605,2929,2974,4432,5776,6778,7528.0
Other Liabilities,109,56,67,159,177,263,327.0
Total Liabilities,1968,3611,4240,5838,7290,9364,10432.0
Fixed Assets,5,6,6,18,19,21,24.0
CWIP,0,0,0,0,0,0,0.0
Investments,0,0,0,0,0,0,2.0
Other Assets,1963,3604,4233,5820,7271,9342,10406.0
Total Assets,1968,3611,4240,5838,7290,9364,10432.0
