,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,266.0,494.0,720.0,856.0,1151.0,1742.0,2037
Interest,137.0,254.0,338.0,375.0,496.0,643.0,717
Expenses,182.0,172.0,290.0,437.0,676.0,638.0,776
Financing Profit,-53.0,68.0,93.0,43.0,-20.0,461.0,545
Financing Margin %,-20.0,14.0,13.0,5.0,-2.0,26.0,27
Other Income,1.0,3.0,10.0,17.0,50.0,58.0,74
Depreciation,2.0,2.0,3.0,4.0,5.0,7.0,8
Profit before tax,-54.0,68.0,100.0,57.0,24.0,512.0,611
Tax %,26.0,26.0,30.0,23.0,11.0,24.0,
Net Profit,-39.0,51.0,70.0,44.0,22.0,387.0,463
EPS in Rs,-9.15,7.71,8.25,5.21,2.58,38.47,46.02
