,2007-03-01,2008-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.89,6.89,6.9,6.9,6.9,6.9,6.9,6.9,6.88,6.88,6.88,6.9
Reserves,29.44,29.31,33.1,34.47,57.76,112.63,115.74,118.64,126.5,137.38,139.17,141.25
Borrowings,23.8,28.33,44.41,41.38,39.29,35.65,33.38,44.96,24.83,31.45,36.22,24.14
Other Liabilities,10.77,8.67,42.38,41.89,16.97,15.95,20.0,16.9,7.57,15.57,6.42,8.79
Total Liabilities,70.9,73.2,126.79,124.64,120.92,171.13,176.02,187.4,165.78,191.28,188.69,181.06
Fixed Assets,30.03,28.29,34.49,32.97,53.29,53.55,52.16,55.71,51.45,50.7,49.3,48.75
CWIP,0.27,0.11,0.0,0.02,0.46,0.06,1.59,0.09,0.14,0.14,0.08,0.08
Investments,7.57,7.59,15.11,15.91,17.27,71.76,70.08,75.43,81.38,113.18,107.11,110.5
Other Assets,33.03,37.21,77.19,75.74,49.9,45.76,52.19,56.17,32.81,27.26,32.2,21.73
Total Assets,70.9,73.2,126.79,124.64,120.92,171.13,176.02,187.4,165.78,191.28,188.69,181.06
