,2022-03-01,2023-03-01
Sales,1.59,9.62
Expenses,12.79,9.1
Operating Profit,-11.2,0.52
OPM %,-704.4,5.41
Other Income,4.2,0.02
Interest,0.61,1.06
Depreciation,0.47,0.69
Profit before tax,-8.08,-1.21
Tax %,0.0,0.0
Net Profit,-8.08,-1.22
EPS in Rs,-1.41,-0.21
