,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.81,0.81,0.81,0.81,1.31,1.31
Reserves,2.21,2.24,-0.13,-0.04,1.15,2.16
Borrowings,4.85,5.09,6.01,6.99,8.13,8.38
Other Liabilities,11.47,7.7,8.98,10.56,10.12,10.06
Total Liabilities,19.34,15.84,15.67,18.32,20.71,21.91
Fixed Assets,0.52,0.44,0.38,0.33,0.29,0.28
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,18.82,15.4,15.29,17.99,20.42,21.63
Total Assets,19.34,15.84,15.67,18.32,20.71,21.91
