,2023-09-01
Depreciation,0.01
EPS in Rs,7.77
Expenses,11.1
Interest,0.55
Net Profit,1.02
OPM %,14.02
Operating Profit,1.81
Other Income,0.12
Profit before tax,1.37
Sales,12.91
Tax %,25.55
