,2022-03-01,2023-03-01,2023-09-01
Promoters,54.99,54.99,54.99
FIIs,7.88,7.41,11.59
DIIs,27.63,27.81,26.94
Public,9.5,9.78,6.48
No. of Shareholders,102409.0,99608.0,93594.0
