,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1254.0,1258.0,3799.0,5892.0,4941.0,4320
Expenses,969.0,1011.0,3171.0,4695.0,4473.0,4133
Operating Profit,286.0,247.0,628.0,1197.0,468.0,187
OPM %,23.0,20.0,17.0,20.0,9.0,4
Other Income,12.0,8.0,484.0,57.0,-1.0,103
Interest,48.0,95.0,433.0,322.0,154.0,161
Depreciation,56.0,87.0,131.0,137.0,142.0,136
Profit before tax,193.0,72.0,547.0,796.0,172.0,-7
Tax %,39.0,36.0,25.0,18.0,11.0,
Net Profit,118.0,46.0,410.0,649.0,152.0,35
EPS in Rs,14.81,6.88,30.59,41.03,9.64,2.23
