,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,166,1076,901,355
Cash from Investing Activity,,-438,2152,108,-217
Cash from Financing Activity,,298,-3017,-313,-27
Net Cash Flow,,26,211,696,111
