,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99
FIIs,6.44,7.51,7.88,8.56,7.62,7.76,7.41,11.45,11.59
DIIs,30.09,28.07,27.63,26.98,26.46,26.81,27.81,26.63,26.94
Public,8.47,9.42,9.5,9.47,10.93,10.45,9.78,6.92,6.48
No. of Shareholders,120644.0,110839.0,102409.0,102634.0,105411.0,100195.0,99608.0,92610.0,93594.0
