,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.5,7.5,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Reserves,0.96,1.3,1.95,2.18,2.31,2.91,3.35,3.79,3.91
Borrowings,1.05,3.05,3.18,3.94,4.3,3.55,4.67,9.2,11.16
Other Liabilities,0.51,0.51,0.77,0.9,1.14,1.04,1.19,1.31,1.38
Total Liabilities,10.02,12.36,14.15,15.27,16.0,15.75,17.46,22.55,24.7
Fixed Assets,0.45,0.34,0.3,0.28,0.24,0.19,0.68,2.3,2.13
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.03,0.0,0.02,0.28,0.03,0.05,0.06,0.05,0.05
Other Assets,9.54,12.02,13.83,14.71,15.73,15.51,16.72,20.2,22.52
Total Assets,10.02,12.36,14.15,15.27,16.0,15.75,17.46,22.55,24.7
