,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.37,1.72,2.31,1.76,0.99,0.94,1.22,2.09,1.67
Expenses,0.69,0.67,0.32,0.99,0.73,0.26,0.64,0.94,1.16
Operating Profit,0.68,1.05,1.99,0.77,0.26,0.68,0.58,1.15,0.51
OPM %,49.64,61.05,86.15,43.75,26.26,72.34,47.54,55.02,30.54
Other Income,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.05,-0.0,0.00
Interest,0.06,0.07,0.04,0.05,0.03,0.04,0.06,0.2,0.19
Depreciation,0.05,0.05,0.04,0.05,0.05,0.05,0.08,0.35,0.36
Profit before tax,0.57,0.93,1.91,0.67,0.19,0.59,0.49,0.6,-0.04
Tax %,40.35,33.33,26.7,50.75,31.58,23.73,10.2,26.67,
Net Profit,0.34,0.62,1.4,0.33,0.13,0.45,0.44,0.43,-0.04
EPS in Rs,0.04,0.08,0.17,0.04,0.02,0.05,0.05,0.05,0.00
