,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,6,6,6,5,5,22,22
Reserves,4,4,4,4,5,6,6,6,6,37,42
Borrowings,0,0,3,4,1,1,2,3,5,75,105
Other Liabilities,0,0,0,3,1,1,1,1,1,9,11
Total Liabilities,9,9,13,15,14,13,16,14,17,143,180
Fixed Assets,2,3,3,3,2,2,2,2,2,2,3
CWIP,1,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,1,1,1,0,0,14,23
Other Assets,6,5,9,13,10,9,12,12,15,126,154
Total Assets,9,9,13,15,14,13,16,14,17,143,180
