,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,7,8,8,8,8,8,8,47,51.0
Reserves,18,18,40,68,79,79,92,118,179,258.0
Preference Capital,1,1,0,0,0,0,0,0,0,
Borrowings,55,57,57,63,90,83,85,138,193,142.0
Other Liabilities,22,24,31,14,24,67,62,94,277,220.0
Total Liabilities,96,107,135,153,200,238,248,358,695,671.0
Fixed Assets,12,17,26,42,41,41,51,57,106,108.0
CWIP,6,1,1,0,1,7,4,6,1,2.0
Investments,13,12,2,2,5,7,8,8,13,12.0
Other Assets,65,77,106,109,154,183,184,288,574,549.0
Total Assets,96,107,135,153,200,238,248,358,695,671.0
