,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,692.0,1044.0,1176.0,677.0,1129.0,1351.0
Expenses,638.0,961.0,1072.0,615.0,991.0,1132.0
Operating Profit,53.0,83.0,104.0,62.0,138.0,219.0
OPM %,8.0,8.0,9.0,9.0,12.0,16.0
Other Income,0.0,1.0,3.0,2.0,4.0,7.0
Interest,18.0,20.0,27.0,27.0,34.0,52.0
Depreciation,9.0,14.0,26.0,29.0,31.0,41.0
Profit before tax,27.0,49.0,53.0,7.0,77.0,134.0
Tax %,43.0,38.0,21.0,30.0,25.0,27.0
Net Profit,15.0,30.0,42.0,5.0,58.0,98.0
EPS in Rs,6.54,12.93,17.95,2.13,23.97,7.72
