,Mar 2014,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,126.37,9.7,8.54,3.72,10.02,24.33,46.43,90.70
Expenses,141.48,15.11,15.23,7.99,12.89,25.43,43.66,81.63
Operating Profit,-15.11,-5.41,-6.69,-4.27,-2.87,-1.1,2.77,9.07
OPM %,-11.96,-55.77,-78.34,-114.78,-28.64,-4.52,5.97,10.00
Other Income,7.56,2.79,-3.18,-12.5,-9.61,150.35,-0.75,0.75
Interest,8.83,2.12,2.19,2.24,3.45,1.05,2.31,6.56
Depreciation,2.46,2.73,2.6,2.49,2.48,1.24,0.89,2.76
Profit before tax,-18.84,-7.47,-14.66,-21.5,-18.41,146.96,-1.18,0.50
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,765.25,
Net Profit,-18.84,-7.47,-14.66,-21.5,-18.42,146.96,7.85,9.53
EPS in Rs,-5.62,-2.23,-4.37,-6.41,-5.49,145.5,7.77,9.42
