,2014-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,33.55,33.55,33.55,33.55,33.55,10.1,10.1,10.1
Reserves,118.76,-129.4,-144.93,-165.93,-184.84,-3.95,3.9,18.0
Borrowings,55.51,26.74,22.19,22.15,22.15,33.19,31.28,116.78
Other Liabilities,95.2,133.38,141.37,165.27,182.34,4.01,5.4,61.53
Total Liabilities,303.02,64.27,52.18,55.04,53.2,43.35,50.68,206.41
Fixed Assets,76.17,39.43,34.56,32.06,29.61,32.98,20.35,117.98
CWIP,7.42,4.92,2.92,2.92,2.92,0.19,0.4,0.67
Investments,0.98,0.52,0.52,0.02,0.02,0.01,3.28,5.35
Other Assets,218.45,19.4,14.18,20.04,20.65,10.17,26.65,82.41
Total Assets,303.02,64.27,52.18,55.04,53.2,43.35,50.68,206.41
