,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.82,2.39,5.31,4.34,3.73,2.0,1.79,1.27,0.35,1.26,3.66,3.32,3.85
Expenses,0.25,0.34,4.59,3.49,3.35,1.69,1.5,1.07,0.31,1.13,2.51,2.59,2.80
Operating Profit,0.57,2.05,0.72,0.85,0.38,0.31,0.29,0.2,0.04,0.13,1.15,0.73,1.05
OPM %,69.51,85.77,13.56,19.59,10.19,15.5,16.2,15.75,11.43,10.32,31.42,21.99,27.27
Other Income,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.00
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.00
Depreciation,0.02,0.04,0.05,0.1,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.04
Profit before tax,1.59,2.01,0.67,0.75,0.37,0.3,0.28,0.18,0.02,0.12,1.03,0.88,1.01
Tax %,20.75,20.4,32.84,17.33,32.43,40.0,17.86,38.89,50.0,25.0,24.27,25.0,
Net Profit,1.26,1.61,0.45,0.62,0.24,0.18,0.23,0.11,0.01,0.08,0.77,0.66,0.76
EPS in Rs,1.05,1.34,0.37,0.5,0.19,0.15,0.19,0.09,0.01,0.06,0.62,0.53,0.61
