,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,143.0,165.0,205.0,252.0,233.0,185.0,256.0,262.0,300
Expenses,130.0,150.0,182.0,215.0,197.0,158.0,210.0,227.0,256
Operating Profit,13.0,15.0,23.0,37.0,36.0,27.0,46.0,35.0,44
OPM %,9.0,9.0,11.0,15.0,16.0,15.0,18.0,13.0,15
Other Income,7.0,5.0,5.0,7.0,8.0,9.0,10.0,11.0,11
Interest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Depreciation,3.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5
Profit before tax,17.0,18.0,26.0,41.0,40.0,32.0,52.0,40.0,49
Tax %,36.0,38.0,36.0,30.0,26.0,25.0,26.0,26.0,
Net Profit,11.0,11.0,17.0,29.0,30.0,24.0,39.0,30.0,37
EPS in Rs,70.19,77.64,114.84,196.74,203.41,166.07,265.37,204.72,251.96
