,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,34.29,34.29,34.29,34.29,34.29,34.29,34.3,34.3
Public,65.71,65.71,65.71,65.71,65.71,65.71,65.71,65.71
No. of Shareholders,10799.0,10798.0,10774.0,10763.0,10763.0,10643.0,10615.0,10611.0
