,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,845.0,673.0,125.0,198.0,380.0
Expenses,1004.0,628.0,148.0,207.0,344.0
Operating Profit,-160.0,46.0,-23.0,-9.0,37.0
OPM %,-19.0,7.0,-18.0,-4.0,10.0
Other Income,30.0,-31.0,-27.0,18.0,17.0
Interest,16.0,18.0,10.0,10.0,23.0
Depreciation,62.0,62.0,52.0,28.0,18.0
Profit before tax,-207.0,-66.0,-112.0,-29.0,12.0
Tax %,-3.0,-6.0,-6.0,-5.0,37.0
Net Profit,-212.0,-70.0,-119.0,-31.0,8.0
EPS in Rs,-207.75,-65.76,-107.17,-2.75,0.67
