,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-0.31,-1.08,1.1
Cash from Investing Activity,-2.02,-6.14,-3.44
Cash from Financing Activity,2.95,6.71,2.42
Net Cash Flow,0.62,-0.51,0.07
