,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.07,26.76,35.14,49.76
Expenses,5.61,25.74,31.65,45.27
Operating Profit,0.46,1.02,3.49,4.49
OPM %,7.58,3.81,9.93,9.02
Other Income,0.0,0.02,0.32,0.33
Interest,0.18,0.48,0.79,0.69
Depreciation,0.12,0.28,1.91,1.99
Profit before tax,0.16,0.28,1.11,2.14
Tax %,6.25,-32.14,27.03,
Net Profit,0.15,0.36,0.81,1.79
EPS in Rs,0.45,0.84,1.3,2.99
