,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,13.98,13.98,12.78,16.52,18.62,31.14
Expenses,13.47,13.47,12.27,15.52,16.12,29.15
Operating Profit,0.51,0.51,0.51,1.0,2.5,1.99
OPM %,3.65,3.65,3.99,6.05,13.43,6.39
Other Income,0.04,0.04,-0.02,0.05,0.27,0.06
Interest,0.25,0.25,0.24,0.44,0.36,0.33
Depreciation,0.13,0.13,0.15,0.84,1.07,0.92
Profit before tax,0.17,0.17,0.1,-0.23,1.34,0.8
Tax %,29.41,29.41,-130.0,-39.13,15.67,20.0
Net Profit,0.12,0.12,0.24,-0.33,1.14,0.65
EPS in Rs,0.39,0.29,0.55,-0.84,2.14,0.85
