,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,192.11,80.42,321.53,299.99
Inventory Days,83.65,90.25,86.83,90.58
Days Payable,349.79,128.35,161.9,104.79
Cash Conversion Cycle,-74.04,42.32,246.47,285.78
Working Capital Days,-57.63,25.98,244.54,259.54
ROCE %,,219.05,41.54,13.16
