,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.57,2.95,8.06,7.13,8.08
Expenses,0.53,2.49,6.66,6.16,7.40
Operating Profit,0.04,0.46,1.4,0.97,0.68
OPM %,7.02,15.59,17.37,13.6,8.42
Other Income,0.0,0.0,0.02,0.17,0.22
Interest,0.0,0.0,0.19,0.23,0.06
Depreciation,0.0,0.0,0.07,0.1,0.10
Profit before tax,0.04,0.46,1.16,0.81,0.74
Tax %,25.0,23.91,31.03,28.4,
Net Profit,0.03,0.36,0.81,0.58,0.52
EPS in Rs,6.0,72.0,6.88,3.45,3.09
