,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.68,1.43,7.94,4.85,3.98,3.67,7.49,15.61,3.08,4.52,3.39
Expenses,14.95,1.08,7.17,3.95,3.77,2.67,7.32,14.21,2.28,3.91,3.27
Operating Profit,-0.27,0.35,0.77,0.9,0.21,1.0,0.17,1.4,0.8,0.61,0.12
OPM %,-1.84,24.48,9.7,18.56,5.28,27.25,2.27,8.97,25.97,13.5,3.54
Other Income,1.94,0.51,0.67,0.35,0.79,0.02,0.39,0.61,-0.44,0.03,0.55
Interest,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.11,0.0,0.03,0.0,0.04,0.02,0.02,0.06,-0.01,0.01,0.01
Profit before tax,1.55,0.86,1.41,1.25,0.96,1.0,0.54,1.95,0.37,0.63,0.66
Tax %,11.61,0.0,14.18,12.0,15.62,20.0,53.7,29.23,-10.81,12.7,22.73
Net Profit,1.37,0.86,1.22,1.1,0.81,0.8,0.25,1.38,0.41,0.55,0.51
EPS in Rs,0.18,0.11,0.16,0.15,0.11,0.11,0.03,0.18,0.05,0.07,0.07
