,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,52.63,52.64,52.87,52.87,52.87,52.87,52.87,52.87
DIIs,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01
Public,47.34,47.33,47.11,47.11,47.11,47.11,47.1,47.12
No. of Shareholders,10371.0,10855.0,8606.0,8478.0,7872.0,7870.0,9048.0,8737.0
