,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,15,15,15,15,15,133,133,133,136,136,136
Reserves,260,318,381,449,562,517,675,695,1129,1412,1538
Borrowings,7,8,3,3,6,424,549,567,692,943,1060
Other Liabilities,118,114,118,170,189,247,261,265,348,437,431
Total Liabilities,399,455,517,636,772,1322,1617,1659,2305,2927,3164
Fixed Assets,68,122,135,172,185,593,708,724,848,1302,1445
CWIP,2,0,1,4,6,4,13,5,6,18,13
Investments,78,37,76,83,185,210,348,400,401,478,536
Other Assets,251,296,305,377,397,515,548,532,1050,1130,1170
Total Assets,399,455,517,636,772,1322,1617,1659,2305,2927,3164
