,2022-03-01,2023-03-01,2023-09-01
Promoters,74.27,74.2,74.2
FIIs,3.38,2.8,2.33
DIIs,4.58,5.29,6.1
Public,17.77,17.72,17.36
No. of Shareholders,74794.0,67785.0,62690.0
