,2020-12-01,2021-03-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,304.0,319.0,325.0,484.0,403.0,508.0,476.0,599.0,544.0,583.0,556.0
Expenses,206.0,234.0,228.0,316.0,273.0,325.0,329.0,394.0,401.0,396.0,400.0
Operating Profit,98.0,85.0,97.0,168.0,130.0,183.0,147.0,205.0,144.0,187.0,155.0
OPM %,32.0,27.0,30.0,35.0,32.0,36.0,31.0,34.0,26.0,32.0,28.0
Other Income,17.0,10.0,17.0,12.0,13.0,9.0,12.0,15.0,19.0,14.0,16.0
Interest,10.0,11.0,12.0,12.0,15.0,13.0,15.0,17.0,18.0,18.0,20.0
Depreciation,30.0,30.0,34.0,34.0,35.0,39.0,41.0,50.0,50.0,54.0,57.0
Profit before tax,75.0,54.0,68.0,133.0,94.0,140.0,103.0,152.0,95.0,128.0,95.0
Tax %,13.0,23.0,19.0,24.0,27.0,25.0,25.0,26.0,28.0,28.0,29.0
Net Profit,66.0,41.0,55.0,102.0,70.0,106.0,78.0,113.0,69.0,94.0,68.0
EPS in Rs,4.86,1.62,1.99,3.73,2.53,3.86,2.81,4.12,2.52,3.42,2.45
