,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,27.39,30.25,29.79,33.43,34.45,35.57,35.41,38.55,40.88,42.63,54.11,55.31,55.3
Expenses,22.34,23.93,25.41,27.44,27.52,27.76,28.06,30.49,32.83,35.01,46.45,48.57,49.48
Operating Profit,5.05,6.32,4.38,5.99,6.93,7.81,7.35,8.06,8.05,7.62,7.66,6.74,5.82
OPM %,18.44,20.89,14.7,17.92,20.12,21.96,20.76,20.91,19.69,17.87,14.16,12.19,10.52
Other Income,1.9,1.94,1.44,1.67,5.27,1.28,1.7,1.74,2.1,2.33,2.18,2.76,3.05
Interest,0.08,0.07,0.13,0.05,0.04,0.05,0.05,0.05,0.06,0.05,0.33,0.11,0.15
Depreciation,1.5,1.91,1.91,1.91,1.95,1.95,1.95,1.95,1.97,1.98,1.97,2.0,1.92
Profit before tax,5.37,6.28,3.78,5.7,10.21,7.09,7.05,7.8,8.12,7.92,7.54,7.39,6.8
Tax %,30.17,-96.82,25.93,30.88,17.04,26.8,27.66,28.85,35.71,29.8,28.91,27.88,28.68
Net Profit,3.76,12.36,2.8,3.94,8.47,5.18,5.11,5.54,5.22,5.57,5.36,5.33,4.85
EPS in Rs,1.37,4.48,1.01,1.43,3.01,1.84,1.81,1.95,1.84,1.96,1.88,1.87,1.7
