,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.52,31.56,35.02,39.6,41.32,51.9,59.16,60.58,65.48,76.33,2.61,2.86,3.03
Expenses,24.43,27.89,31.11,36.22,38.73,49.97,52.08,54.62,61.85,73.08,1.54,1.59,1.44
Operating Profit,4.09,3.67,3.91,3.38,2.59,1.93,7.08,5.96,3.63,3.25,1.07,1.27,1.59
OPM %,14.34,11.63,11.17,8.54,6.27,3.72,11.97,9.84,5.54,4.26,41.0,44.41,52.48
Other Income,0.11,1.3,0.27,3.18,0.8,0.04,0.08,0.02,0.06,0.04,0.0,0.03,0.03
Interest,0.6,0.88,0.95,1.04,1.45,1.4,1.11,1.04,0.54,0.65,0.22,0.16,0.11
Depreciation,0.93,0.91,0.89,0.85,1.17,1.29,2.08,2.08,2.08,1.75,0.89,0.89,0.89
Profit before tax,2.67,3.18,2.34,4.67,0.77,-0.72,3.97,2.86,1.07,0.89,-0.04,0.25,0.62
Tax %,23.22,23.58,29.49,29.55,32.47,0.0,24.43,27.62,29.91,31.46,0.0,28.0,
Net Profit,2.05,2.43,1.66,3.29,0.52,-0.72,3.01,2.08,0.75,0.62,-0.04,0.19,0.46
EPS in Rs,6.83,8.1,5.53,10.97,1.73,-2.4,10.03,5.2,1.88,1.55,-0.1,0.48,1.16
