,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.25,74.32,73.85,74.04,73.02,73.0,72.92,72.93
FIIs,10.96,10.09,8.93,8.45,9.21,8.12,6.38,6.47
DIIs,5.77,5.78,6.5,7.02,6.16,3.24,8.01,8.03
Public,9.45,9.3,10.26,10.09,11.25,15.37,12.51,12.43
Others,0.56,0.51,0.45,0.4,0.35,0.27,0.18,0.14
No. of Shareholders,241154.0,269694.0,330074.0,511881.0,818539.0,1934986.0,2691329.0,2593087.0
