,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,62.64,62.64,62.64,58.93,44.72,44.72
FIIs,0.0,0.0,0.0,0.1,0.0,0.0
Public,37.36,37.36,37.36,40.96,55.27,55.28
No. of Shareholders,46.0,54.0,55.0,4389.0,13804.0,13688.0
