,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,122.57,28.29,25.28,5.9,0.79,4.23
Inventory Days,35.5,147.69,135.5,163.8,157.36,200.4
Days Payable,7.21,0.0,0.26,0.23,0.22,12.1
Cash Conversion Cycle,150.86,175.98,160.53,169.47,157.93,192.52
Working Capital Days,140.16,180.14,156.21,164.36,153.32,187.12
ROCE %,,0.82,3.02,3.71,3.08,2.5
