,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.49,26.32,29.16,33.4,51.09,50.93,78.84
Expenses,13.28,26.29,28.68,32.71,50.42,50.24,77.16
Operating Profit,0.21,0.03,0.48,0.69,0.67,0.69,1.68
OPM %,1.56,0.11,1.65,2.07,1.31,1.35,2.13
Other Income,0.05,0.08,0.03,0.45,1.6,1.22,1.47
Interest,0.0,0.05,0.29,0.41,0.36,0.47,0.74
Depreciation,0.02,0.03,0.03,0.04,0.03,0.03,0.05
Profit before tax,0.24,0.03,0.19,0.69,1.88,1.41,2.36
Tax %,25.0,33.33,26.32,13.04,10.64,24.82,
Net Profit,0.18,0.02,0.14,0.6,1.68,1.07,1.80
EPS in Rs,0.29,0.02,0.14,0.6,1.67,1.07,1.80
