,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.19,6.69,6.69,10.04,10.04,10.04,10.04
Reserves,1.0,6.02,6.16,3.42,5.1,6.11,6.84
Borrowings,0.13,1.5,4.03,4.71,8.92,13.32,17.23
Other Liabilities,0.67,0.05,0.26,0.15,0.29,2.12,2.08
Total Liabilities,5.99,14.26,17.14,18.32,24.35,31.59,36.19
Fixed Assets,0.08,0.05,0.9,0.1,0.08,0.09,0.09
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,3.41,3.01,2.51,3.27,0.65
Other Assets,5.91,14.21,12.83,15.21,21.76,28.23,35.45
Total Assets,5.99,14.26,17.14,18.32,24.35,31.59,36.19
