,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.88,0.5,0.35,3.08,0.09,0.12,0.01,0.36,0.21,0.23
Expenses,3.65,0.76,0.64,0.44,0.94,0.55,0.42,0.44,0.52,0.53
Operating Profit,-1.77,-0.26,-0.29,2.64,-0.85,-0.43,-0.41,-0.08,-0.31,-0.30
OPM %,-94.15,-52.0,-82.86,85.71,-944.44,-358.33,-4100.0,-22.22,-147.62,-130.43
Other Income,-0.01,0.0,0.0,0.57,0.93,0.0,0.39,2.0,0.0,0.19
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.03,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,-1.81,-0.31,-0.33,3.17,0.08,-0.43,-0.02,1.92,-0.31,-0.11
Tax %,28.18,35.48,87.88,5.99,12.5,-11.63,-600.0,1.04,-19.35,
Net Profit,-1.31,-0.19,-0.04,2.81,0.08,-0.48,-0.14,1.89,-0.37,-0.17
EPS in Rs,-8.65,-1.26,-0.26,18.56,0.53,-3.17,-0.92,12.49,-2.44,-1.12
