,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51
Reserves,9.75,9.5,9.48,12.28,9.65,9.13,9.02,9.1,8.72,8.78
Borrowings,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.85,0.8,0.81,1.56,0.05,0.04,0.05,0.04,0.04,0.03
Total Liabilities,12.2,11.9,11.89,15.44,11.21,10.68,10.58,10.65,10.27,10.32
Fixed Assets,0.22,0.12,0.08,0.04,0.02,0.02,0.02,0.02,0.02,0.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,6.8,7.01,6.86,10.02,7.1,6.67,6.66,2.37,2.3,2.49
Other Assets,5.18,4.77,4.95,5.38,4.09,3.99,3.9,8.26,7.95,7.81
Total Assets,12.2,11.9,11.89,15.44,11.21,10.68,10.58,10.65,10.27,10.32
