,2013-03-01,2014-03-01,2015-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,32,32,32,32,32,32,32,32,32,32,32
Reserves,60,56,61,70,74,71,66,77,83,88,101
Borrowings,19,14,2,1,2,4,3,11,3,9,11
Other Liabilities,2,6,2,3,7,14,10,20,28,38,25
Total Liabilities,113,108,96,106,115,121,110,140,146,168,169
Fixed Assets,1,1,1,9,9,9,8,12,12,13,14
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,10,16,17,26,25,25,20,22,44,46,61
Other Assets,102,91,79,72,80,87,82,106,90,108,95
Total Assets,113,108,96,106,115,121,110,140,146,168,169
