,2011-03-01,2012-03-01,2013-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,7.55,10.27,10.27,10.27,10.27,15.4,15.4
Reserves,-0.15,-0.8,-1.64,5.2,24.26,18.6,8.67,7.47,1.75,1.74
Borrowings,1.22,2.15,3.86,28.81,16.88,15.22,35.09,28.02,25.94,24.07
Other Liabilities,0.31,0.14,0.24,3.29,2.78,33.93,1.89,2.12,2.36,3.17
Total Liabilities,1.39,1.5,2.47,44.85,54.19,78.02,55.92,47.88,45.45,44.38
Fixed Assets,0.81,0.99,1.8,21.58,22.11,49.82,31.19,24.51,21.6,20.82
CWIP,0.0,0.0,0.0,0.28,0.74,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.02,5.4,2.21,0.37,0.24,0.14,0.16
Other Assets,0.58,0.51,0.67,22.97,25.94,25.99,24.36,23.13,23.71,23.4
Total Assets,1.39,1.5,2.47,44.85,54.19,78.02,55.92,47.88,45.45,44.38
