,Mar 2011,Mar 2012,Mar 2013,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.03,0.97,2.00,36.29,38.32,35.35,13.44,20.56,25.53,25.69
Expenses,0.18,1.62,2.52,26.03,29.69,25.82,14.29,16.16,19.19,19.33
Operating Profit,-0.15,-0.65,-0.52,10.26,8.63,9.53,-0.85,4.4,6.34,6.36
OPM %,-500.00,-67.01,-26.00,28.27,22.52,26.96,-6.32,21.4,24.83,24.76
Other Income,0.00,0.00,0.00,0.29,0.53,1.38,0.1,2.49,1.01,1.35
Interest,0.00,0.00,0.07,3.93,2.42,4.59,3.66,3.03,2.74,2.79
Depreciation,0.00,0.00,0.24,5.82,5.25,8.85,7.54,5.99,5.24,5.10
Profit before tax,-0.15,-0.65,-0.83,0.8,1.49,-2.53,-11.95,-2.13,-0.63,-0.18
Tax %,0.00,1.54,0.00,-70.0,-43.62,18.97,15.98,43.66,-1.59,
Net Profit,-0.15,-0.64,-0.84,1.36,2.15,-2.05,-10.04,-1.2,-0.63,-0.48
EPS in Rs,,,,0.12,0.14,-0.13,-0.65,-0.08,-0.04,-0.03
