,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,9,9,9,9,9,9,9
Reserves,11,14,26,23,25,21,18,19,20,21
Borrowings,61,43,54,58,11,26,26,33,28,36
Other Liabilities,52,39,12,13,13,10,16,28,18,17
Total Liabilities,129,101,98,102,57,65,68,89,75,81
Fixed Assets,0,0,7,5,3,2,1,1,0,0
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,9,10,13,14,14,14,4,13,11,10
Other Assets,120,91,78,83,40,49,63,75,63,71
Total Assets,129,101,98,102,57,65,68,89,75,81
