,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,253,426,410,456.0,478.0,291.0,241.0,335.0,294.0,240
Expenses,250,421,400,452.0,471.0,292.0,241.0,333.0,293.0,237
Operating Profit,3,5,10,4.0,7.0,-1.0,-1.0,2.0,1.0,3
OPM %,1,1,2,1.0,1.0,-0.0,-0.0,0.0,0.0,1
Other Income,2,3,3,6.0,2.0,1.0,3.0,3.0,1.0,1
Interest,4,3,4,8.0,5.0,3.0,3.0,4.0,5.0,4
Depreciation,0,0,2,2.0,2.0,2.0,2.0,0.0,0.0,0
Profit before tax,1,4,7,-0.0,2.0,-5.0,-3.0,0.0,-3.0,-0
Tax %,66,38,33,21.0,20.0,21.0,8.0,-164.0,7.0,
Net Profit,0,3,5,-0.0,2.0,-4.0,-3.0,1.0,-3.0,-0
EPS in Rs,,,,-0.32,1.91,-4.32,-3.29,0.68,-3.08,-0.57
