,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.81,73.81,73.81,73.81,73.81,73.81
Government,0.33,0.33,0.33,0.33,0.33,0.33
Public,25.86,25.86,25.86,25.86,25.87,25.86
No. of Shareholders,4762.0,4802.0,4781.0,4957.0,5027.0,5173.0
