,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.09,1.61,5.5,1.49,26.54,0.25,0.39,4.11,1.81,1.27,1.79
Expenses,0.04,1.55,0.08,1.53,4.65,1.45,24.78,0.96,0.4,3.74,1.84,1.34,1.75
Operating Profit,-0.04,-1.55,0.01,0.08,0.85,0.04,1.76,-0.71,-0.01,0.37,-0.03,-0.07,0.04
OPM %,,,11.11,4.97,15.45,2.68,6.63,-284.0,-2.56,9.0,-1.66,-5.51,2.23
Other Income,0.00,0.00,0.00,0.0,0.01,0.06,0.06,0.23,0.1,0.15,0.24,0.17,0.18
Interest,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.19,0.0,0.0,0.0,0.0,0.00
Depreciation,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.0,0.00
Profit before tax,-0.06,-1.56,0.00,0.07,0.84,0.09,1.76,-0.69,0.08,0.51,0.2,0.1,0.22
Tax %,0.00,4.49,,28.57,20.24,11.11,20.45,-1.45,0.0,19.61,15.0,10.0,
Net Profit,-0.06,-1.49,0.00,0.06,0.68,0.09,1.41,-0.69,0.08,0.42,0.17,0.08,0.20
EPS in Rs,-0.05,-1.15,0.00,0.05,0.52,0.07,1.08,-0.53,0.06,0.32,0.13,0.06,0.15
