,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79
FIIs,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
DIIs,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0
Public,61.2,61.2,61.2,61.2,61.2,61.2,61.19,61.2
No. of Shareholders,1202.0,1163.0,1154.0,1138.0,1144.0,1155.0,1146.0,1217.0
