,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,63.0,78.0,74.0,143.0,103.0,44.0,78.0,15.0,19.0,96.0,61.0,28.0,58
Expenses,46.0,47.0,51.0,98.0,73.0,17.0,52.0,16.0,40.0,25.0,16.0,9.0,6
Operating Profit,17.0,32.0,23.0,44.0,30.0,27.0,26.0,-1.0,-21.0,71.0,45.0,20.0,52
OPM %,27.0,41.0,31.0,31.0,29.0,60.0,33.0,-8.0,-106.0,74.0,73.0,69.0,89
Other Income,2.0,0.0,1.0,0.0,2.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,0
Interest,11.0,23.0,22.0,20.0,20.0,14.0,5.0,2.0,2.0,3.0,3.0,4.0,5
Depreciation,2.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,6.0,7.0,1.0,21.0,11.0,12.0,21.0,26.0,-23.0,70.0,42.0,16.0,47
Tax %,39.0,51.0,-283.0,17.0,31.0,19.0,6.0,24.0,0.0,13.0,13.0,13.0,
Net Profit,4.0,3.0,3.0,18.0,7.0,10.0,20.0,20.0,-23.0,61.0,37.0,14.0,38
EPS in Rs,2.75,2.8,2.07,14.57,6.06,8.2,15.84,15.75,-18.08,48.26,29.09,11.04,30.01
