,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-0.18,0.52,-5.24
Cash from Investing Activity,-0.94,-2.33,-6.87
Cash from Financing Activity,1.12,1.79,12.82
Net Cash Flow,0.0,-0.03,0.71
