,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.91,4.73,32.46,61.95
Expenses,0.8,4.09,26.76,52.14
Operating Profit,0.11,0.64,5.7,9.81
OPM %,12.09,13.53,17.56,15.84
Other Income,0.0,0.02,0.05,0.06
Interest,0.04,0.22,0.45,0.46
Depreciation,0.1,0.41,1.03,1.46
Profit before tax,-0.03,0.03,4.27,7.95
Tax %,0.0,-33.33,9.13,
Net Profit,-0.03,0.04,3.88,7.49
EPS in Rs,-7.41,9.57,59.43,56.40
