,2022-09-01,2023-03-01,2023-09-01
Sales,3.19,26.17,35.78
Expenses,2.47,21.56,30.58
Operating Profit,0.72,4.61,5.2
OPM %,22.57,17.62,14.53
Other Income,0.02,0.03,0.03
Interest,0.16,0.3,0.16
Depreciation,0.38,0.58,0.88
Profit before tax,0.2,3.76,4.19
Tax %,30.0,8.51,3.1
Net Profit,0.14,3.43,4.06
EPS in Rs,33.49,52.53,3.87
