,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,13.9,9.95,25.44,37.44,40.68,36.09,37.19,17.61,21.5,14.05,14.53,4.97,11.74
Expenses,15.1,-0.2,30.75,33.58,39.87,36.15,37.45,19.77,13.07,14.11,20.75,4.42,6.54
Operating Profit,-1.2,10.15,-5.31,3.86,0.81,-0.06,-0.26,-2.16,8.43,-0.06,-6.22,0.55,5.2
OPM %,-8.63,102.01,-20.87,10.31,1.99,-0.17,-0.7,-12.27,39.21,-0.43,-42.81,11.07,44.29
Other Income,0.38,0.18,0.52,0.19,0.09,0.1,0.07,0.03,0.21,0.05,0.04,0.04,0.17
Interest,0.05,0.03,0.23,0.03,-0.0,0.05,0.25,0.48,0.43,0.66,0.18,0.47,0.46
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,-0.88,10.29,-5.03,4.01,0.89,-0.02,-0.48,-2.62,8.2,-0.68,-6.37,0.11,4.9
Tax %,64.77,2.24,4.77,43.89,4.49,-2850.0,-4.17,-0.0,3.66,35.29,-2.04,-0.0,7.55
Net Profit,-0.3,10.06,-4.78,2.25,0.86,-0.59,-0.5,-2.62,7.9,-0.44,-6.5,0.11,4.54
EPS in Rs,-0.3,10.04,-4.77,2.25,0.86,-0.59,-0.5,-2.61,7.88,-0.44,-6.49,0.11,4.53
