,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1.29,1.42,1.89,2.34,2.44,2.2,2.33,2.65,2.43,2.16,2.25,2.27
Expenses,0.45,0.49,1.06,0.82,0.73,0.74,0.88,1.1,0.99,0.87,0.94,0.81
Operating Profit,0.84,0.93,0.83,1.52,1.71,1.46,1.45,1.55,1.44,1.29,1.31,1.46
OPM %,65.12,65.49,43.92,64.96,70.08,66.36,62.23,58.49,59.26,59.72,58.22,64.32
Other Income,0.01,0.08,0.15,0.03,0.02,0.03,0.0,0.0,0.15,0.1,0.14,0.07
Interest,0.63,0.66,0.68,1.15,1.22,0.99,0.96,1.03,0.9,0.78,0.84,0.84
Depreciation,0.04,0.06,0.04,0.05,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.01
Profit before tax,0.18,0.29,0.26,0.35,0.45,0.45,0.45,0.49,0.67,0.59,0.59,0.68
Tax %,38.89,41.38,61.54,28.57,28.89,26.67,26.67,26.53,28.36,28.81,30.51,27.94
Net Profit,0.11,0.17,0.1,0.25,0.31,0.33,0.33,0.37,0.48,0.42,0.42,0.49
EPS in Rs,0.28,0.44,0.18,0.45,0.53,0.57,0.57,0.37,0.48,0.42,0.42,0.49
