,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
FIIs,8.02,74.24,69.13,67.63,65.57,65.5
DIIs,6.83,7.11,11.45,13.03,14.58,14.68
Public,85.15,18.65,19.42,19.34,19.83,19.81
No. of Shareholders,55397.0,59499.0,84914.0,82587.0,83916.0,83575.0
