,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-243,-634,5,-241,-27
Cash from Investing Activity,-939,-933,338,-2742,-3411
Cash from Financing Activity,2858,-17,-147,2902,3538
Net Cash Flow,1676,-1583,196,-81,100
