,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,47.0,79,60,53,48
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,47.0,79,60,53,48
Working Capital Days,50.0,123,122,62,192
ROCE %,,-7,-8,-17,-11
