,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1654.0,2781.0,3647.0,6882.0,7225.0,7555
Expenses,3272.0,2952.0,3769.0,7357.0,7677.0,7645
Operating Profit,-1618.0,-171.0,-123.0,-475.0,-452.0,-90
OPM %,-98.0,-6.0,-3.0,-7.0,-6.0,-1
Other Income,41.0,207.0,150.0,156.0,319.0,379
Interest,36.0,49.0,89.0,100.0,89.0,79
Depreciation,170.0,256.0,355.0,611.0,831.0,788
Profit before tax,-1783.0,-269.0,-416.0,-1029.0,-1053.0,-579
Tax %,0.0,-0.0,0.0,2.0,4.0,
Net Profit,-1783.0,-269.0,-416.0,-1011.0,-1008.0,-547
EPS in Rs,-18607.05,-2758.26,-2492.6,-15.75,-13.83,-7.49
