,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1003.0,1318.0,1498.0,1995.0,2072.0,1746.0,1796.0,1824.0,1860.0,1930.0,1942.0
Expenses,1025.0,1389.0,2016.0,1941.0,2012.0,2000.0,1934.0,1898.0,1846.0,1943.0,1957.0
Operating Profit,-23.0,-71.0,-518.0,54.0,60.0,-254.0,-138.0,-75.0,13.0,-13.0,-16.0
OPM %,-2.0,-5.0,-35.0,3.0,3.0,-15.0,-8.0,-4.0,1.0,-1.0,-1.0
Other Income,29.0,46.0,30.0,24.0,55.0,55.0,95.0,94.0,75.0,108.0,101.0
Interest,25.0,23.0,26.0,28.0,23.0,25.0,24.0,21.0,19.0,20.0,20.0
Depreciation,100.0,82.0,120.0,187.0,223.0,181.0,200.0,207.0,242.0,167.0,171.0
Profit before tax,-118.0,-130.0,-633.0,-136.0,-131.0,-405.0,-266.0,-209.0,-173.0,-92.0,-105.0
Tax %,0.0,0.0,-0.0,7.0,8.0,1.0,5.0,6.0,8.0,3.0,2.0
Net Profit,-118.0,-130.0,-635.0,-127.0,-120.0,-399.0,-254.0,-196.0,-159.0,-89.0,-103.0
EPS in Rs,-708.98,-774.86,-339.25,-5.84,-1.87,-5.51,-3.5,-2.69,-2.18,-1.22,-1.4
