,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.99,0.99,0.99,0.99,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Reserves,0.56,0.64,0.6900000000000001,1.6,6.02,7.1,7.9,9.21,11.48,13.38,13.89
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,6.76,4.74,2.66,1.53,1.29
Other Liabilities,0.02,0.13,0.12,0.02,0.01,0.04,0.32,2.19,4.52,5.92,10.76
Total Liabilities,1.57,1.76,1.8,2.61,9.03,10.14,17.98,19.14,21.66,23.83,28.94
Fixed Assets,0.43,0.43,0.42,0.42,0.42,0.42,0.43,0.49,0.55,0.67,0.65
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200000000000001,1.03,1.24
Investments,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001
Other Assets,0.5700000000000001,0.76,0.81,1.62,8.04,9.15,16.98,18.08,19.72,21.56,26.48
Total Assets,1.57,1.76,1.8,2.61,9.03,10.14,17.98,19.14,21.66,23.83,28.94
