,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.41,12.24,0.5,1.05,1.16,3.44,8.17,14.73,17.71,21.84,19.84
Expenses,0.31,12.16,0.44,0.08,0.13,2.41,7.38,12.87,15.32,19.41,17.95
Operating Profit,0.1,0.08,0.06,0.97,1.03,1.03,0.79,1.86,2.39,2.43,1.89
OPM %,24.39,0.65,12.0,92.38,88.79,29.94,9.67,12.63,13.5,11.13,9.53
Other Income,0.0,0.0,0.0,0.0,0.0,0.05,0.63,0.61,0.48,0.39,0.40
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.86,0.5,0.48,0.42
Depreciation,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.05
Profit before tax,0.09,0.07,0.05,0.97,1.03,1.08,0.8,1.6,2.36,2.31,1.82
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,8.47,18.18,
Net Profit,0.1,0.08,0.05,0.97,1.03,1.08,0.8,1.48,2.16,1.89,1.38
EPS in Rs,1.01,0.81,0.51,9.83,3.43,3.6,2.67,4.93,7.2,6.3,4.59
