,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.95,38.6,56.01,62.76,76.33,59.78,54.4,40.84,37.74,33.81,32.5,47.8,57.75
Expenses,32.95,39.45,54.21,94.67,64.83,54.68,52.99,37.9,34.07,30.23,29.48,42.94,50.51
Operating Profit,1.0,-0.85,1.8,-31.91,11.5,5.1,1.41,2.94,3.67,3.58,3.02,4.86,7.24
OPM %,2.95,-2.2,3.21,-50.84,15.07,8.53,2.59,7.2,9.72,10.59,9.29,10.17,12.54
Other Income,1.4,3.2,0.87,81.24,-4.06,146.95,37.58,-5.5,0.06,4.7,4.87,1.45,0.09
Interest,0.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.00
Depreciation,1.23,1.09,0.95,0.22,0.44,0.66,0.56,1.02,0.92,0.86,0.91,1.31,1.41
Profit before tax,1.17,1.26,1.72,36.36,7.0,151.39,38.43,-3.58,2.79,7.41,6.97,4.99,5.92
Tax %,0.0,0.0,0.0,0.0,0.0,0.07,-0.05,-1.68,12.19,6.61,-14.78,-1.6,
Net Profit,1.17,1.27,1.72,36.36,6.99,151.27,38.44,-3.64,2.45,6.91,8.0,5.08,6.02
EPS in Rs,0.22,0.24,0.32,6.85,1.32,28.48,7.24,-0.69,0.46,1.3,1.51,0.96,1.13
